,Source(T/F),Answer(T/F),Question,Answer,Source
17,T,T,['What precautions should be taken for safe handling and storage of the product?'],"['May be harmful or fatal if swallowed. Store in a cool dry, ventilated area.']",['HANDLING AND STORAGE']
18,T,T,['What are the exposure controls and personal protection measures recommended for the product?'],['Controls should be such that adequate ventilation is provided. Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Local exhaust ventilation is preferred because it prevents contaminant dispersion into the workplace by controlling it at its source.'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
19,T,T,['What are the physical and chemical properties of the product?'],['Physical State: Liquid; Appearance and Color: Yellow to amber; Odor: Mild; Flash Point: >275°F (>135°C); Upper / Lower Flammability or Explosive Limits: not available; Auto Ignition Temperature: not available; Decomposition Temperature: not available; Vapor Pressure: not available; Odor Threshold: not available; pH: 10.0 – 11.5; Relative Density: 8.33 – 9.02 lb/gal; Specific Gravity (H2O = 1 AT 4 C): 1.000 – 1.070; Melting Point / Freezing Point: not available; Water Solubility: soluble'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['The product is stable at room temperature in closed containers under normal storage and handling conditions. However, it can produce hazardous decomposition by-products when heated, such as carbon monoxide, carbon dioxide, and unknown organic compounds.']",['SECTION 10: STABILITY AND REACTIVITY']
21,T,T,['What are the possible hazardous decomposition products of the product?'],"['carbon monoxide, carbon dioxide and unknown organic compounds']",['SECTION 10: STABILITY AND REACTIVITY']
22,T,T,['What is the toxicological information available for the product?'],"['Acute toxicity (Category 4), dermal (Category 5), Skin Irritation (Category 3), Serious eye damage (Category 1) and Reproductive toxicity (Category 2)']",['GHS Classification']
23,T,T,['What are the safety precautions and handling instructions for using the product?'],"['May be harmful or fatal if swallowed. Store in a cool dry, ventilated area. Controls should be such that adequate ventilation is provided. Wear protective eyeglasses or chemical safety goggles, and increase PPE level as deemed appropriate.']","['HANDLING AND STORAGE, RESPIATORY PROTECTION, EYE PROTECTION']"
24,T,T,['What are the potential hazards associated with the product?'],"['Acute toxicity (dermal), Skin Irritation, Serious eye damage, Reproductive toxicity']",['Hazard Statements']
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],"['Target Organ Effect, Serious eye damage, Reproductive toxicity, Skin Irritation, Acute toxicity']","['Section 11: TOXICOLOGICAL INFORMATION SIGNS AND SYMPTOMS OF OVEREXPOSURE and GHS Classification: Acute toxicity, dermal (Category 5) Acute toxicity, oral (Category 4) Skin Irritation (Category 3) Serious eye damage (Category 1) Reproductive toxicity (Category 2)']"
26,T,T,['What are the emergency procedures in case of inhalation of the product?'],"['Remove victim to fresh air. If not breathing, give artificial respiraton. If breathing is difficult, give oxygen. Consult a physician.']",['SECTION 6: ACCIDENTAL RELEASE MEASURES']
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']","['INSTRUCTIONS FOR EMERGENCY PROCEDURES: SMALL SPILLS, LARGE SPILLS']"
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],['Rinse cautiously with water for several minutes. Remove contact lenses if present and easy to do. Continue rinsing. If in eyes: Immediately call a POISON CENTER or doctor/physician. P310 + P313 If exposed or concerned: Get medical advice/attention.'],"['EXPOSURE CONTROLS / PERSONAL PROTECTION, EYE PROTECTION']"
29,T,T,['What are the emergency procedures in case of ingestion of the product?'],"['If ingested, DO NOT wait for sympto ms to develop before getting treatment. Seek medical atte ntion immediately for poisoning. Rinse mouth. P330 IF SWALLOWED: ']",['EMERGENCY PROCEDURES : SMALL SPILLS and INGESTION']
30,T,T,['What is the waste disposal method for the product?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
31,T,T,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in a cool dry, ventilated area.']",['SECTION 7: HANDLING AND STORAGE / SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']
32,T,T,['What is the shelf life of the product?'],"[""I don't know""]",['N/A']
33,T,T,['What are the composition and ingredients of the product?'],"['Triethylene Glycol Monomethyl Ether 112-35-6 5%, Triethylene Glycol Monoethyl Ether 112-50-5 5%, Triethylene Glycol Monobutyl Ether 143-22-6 5%, Tetrathylene Glycol Monobutyl Ether 1559-34-8 5%, Polyethylene Glycol 25322-68-3 5%, Diethylene Glycol Monobutyl Ether 112-34-5 5%, Diethylene Glycol 111-46-6 5%, Diethylene Glycol Monomethyl Ether 111-77-3 <5%, Polyalkylene Glycol Monomethyl Ether 9004-77-7 5%, Polyalkylene Glycol Monobutyl Ether 23783-42-8 5%']",['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
34,T,T,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Hazardous polymerization will not occur.'],['SECTION 10: STABILITY AND REACTIVITY']
35,T,T,['What is the odor of the product?'],['Mild'],['SECTION 9: PHYSICAL A ND CHEMICAL PROPERTIES']
36,T,T,['What is the boiling point of the product?'],['480°F (248.9°C)'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES / INITIAL BOILING POINT AND BOILING RANGE']
37,T,T,['Is the product flammable?'],['None known'],['UNUSUAL FIRE AND EX PLOSION HAZARDS']
38,T,T,['What is the solubility of the product?'],['soluble'],"[['WATER SOLUBILITY: soluble', 'OTHER SOLUBILITIES: not available']]"
39,T,T,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['stable at room temperature in closed containers under normal storage and handling conditions, thermal oxidative decomposition can produce carbon monoxide, carbon dioxide and unknown organic compounds']",['SECTION 10: STABILITY AND REACTIVITY']
40,T,T,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Local exhaust ventilation is preferred because it prevents contaminant dispersion into the work place by controlling it at its source. Seek professional advice prior to respirator selection and use. Follow OSHA respirator regulations (29 CFR 1910.134) and, if necessary, wear a MSHA / NIOSH approved respirator.']","['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS, SECTION 6: ACCIDENTAL RELEASE MEASURES']"
41,T,T,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
42,T,T,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],"['Trade Secret Inhibitor is listed with a trade secret percentage of 3%, and other components have percentage ranges that vary from 5-50% as specified in SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']",['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
,42/43,42/43,,,
