,Source(T/F),Answer(T/F),Question,Answer,Source
18,,,['How are controller logs stored?'],"['The controller log is stored on removable media, in plain text files in the TSV format.']","['Controller Log Files and the Removable Media, Writing the Controller Log to the CompactFlash Card']"
19,,,['What kind of media can Logix5000 controllers write logs to?'],"['CompactFlash card, removable media, CompactLogix Controllers do not support storing log entries to removable media']","['Controller Logging Counters, Log File Storage']"
20,,,['How does the controller handle a loss of communication with a module?'],"['If communication with a device in the I/O configuration of the controller does not occur for 100 ms, the communication times out. If this occurs, you have these options: Configure critical I/O modules to generate a controller major fault when they lose their connections to the controller: or, monitor the status of I/O modules.']",['Manage a Connection Failure']
21,,,['What is the Change Detection feature in Logix5000 controllers?'],"[""Change Detection feature in Logix5000 controllers monitors changes to the controller's configuration and attributes, generating a new audit value when a change is detected.""]",['Chapter 4 Change Detection']
22,,,['What is the role of the GSV instruction in Change Detection?'],['Use to read the Changes To Detect attribute programmatically.'],"['Change Detection Chapter 4, Controller Change Detection on page 46']"
23,,,['How do you inhibit a module using logic?'],['Use a Get System Value (GSV) instruction to read the Mode attribute for the module. Set or clear bit 2. Use a Set System Value (SSV) instruction to write the Mode attribute back to the module.'],['Follow these steps to inhibit or uninhibit a module from logic.']
24,,,['What does the attribute ‘FaultCode’ indicate?'],"['A number that identifies a module fault, if one occurs.']","['Determine if communication has timed out with a specific deviceFaultCode INT For efficiency, use a DINT as the destination data type.A number that identifies a module fault, if one occurs. In the Instance Name, choose the device whose connection you want to monitor.']"
25,,,['What does ‘Total Entry Count’ indicate in the Controller Log?'],['The number of entries added to the log since the last firmware update.'],['Counter Name and Get System Value (GSV) / System Status Value (SSV)']
26,,,['How can you reset the Execution Modification Count?'],['This counter can be set to a known value by using an SSV instruction.'],['Controller Logging Chapter 3']
27,,,"[""What does the 'LEDStatus' attribute monitor?""]",['The current state of the I/O status indicator on the front of the controller.'],"['Access Status Information 51, Change Detection Chapter 4']"
28,,,['What happens when you enable automatic log writes?'],"[""When the controller's internal log entry buffer becomes 80% full, it can automatically write the buffered entries to the CompactFlash card. Additionally, buffered entries can be automatically written before a firmware update.""]",['Writing the Controller Log to the CompactFlash Card']
29,,,['How can you convert memory information from INTs to DINT?'],['Use a Copy (COP) instruction to convert separate INTs into one usable value.'],"['Determine Controller Memory Information T o convert the separate INTs into one usable value, use a Copy (COP) instruction.']"
30,,,['What is the purpose of the ‘Modify Execution Count’?'],['The Execution Modification Count tracks the number of changes that occur that can change the behavior of a running controller.'],['Execution Modification Count The Execution Modification Count tracks the number of changes that occur that can change the behavior of a running controller.']
31,,,['What does the ‘System Overhead Time Slice’ modify?'],['Controller timeslice modified'],['·Ta s k p r o p e r ti e s m o d i f i e d ·Controller timeslice modified ']
32,,,['What happens if you remove the CompactFlash card during logging?'],"['If the removable media becomes full, the system will behave as if the removable media is not present.']","['Controller Log Files and the Removable Media, Writing the Controller Log to the CompactFlash Card']"
33,,,['How is memory usage viewed in real-time?'],"['When online with a controller, the Memory tab shows the actual memory usage of the controller.']",['Determine Controller Memory Information Chapter 2 View Run-time Memory Information']
34,,,['What is the maximum size of a log file?'],['1 MB'],"['Controller Logging Chapter 3 Log File Storage, Controller logging Chapter 3 Writing the Controller Log to the CompactFlash Card']"
35,,,['What is the ChangesToDetect attribute?'],"['The ChangesToDetect mask is a 64-bit value that specifies which changes are monitored. When a monitored change occurs, the AuditValue is updated.']",['Change Detection Chapter 4']
36,,,['How do you write a custom log entry?'],"[""Use a message instruction with a message type of 'CIP Generic' and a service type of 'Controller Log Add Entry'. The source element of this message should be a tag of a user-defined data type that contains two string members, the first string will be put in the log entry's Description field and the second string will be put in the log entry's Extended Information field.""]",['Create Custom Log Entries']
37,,,['What does a flashing green status indicator on the controller signify?'],['At least one MODULE object is not Running.'],['Determine if communication has timed out with any deviceLEDStatus INT']
38,,,['What type of faults does the Logix5000 controller log?'],"['A major fault occurred, All major faults cleared, Keyswitch mode change, Remote mode change']","['Connections Monitor the Health of a Module, Chapter 1']"
39,,,['What kind of changes trigger the AuditValue update?'],"['Project is downloaded to the controller, or when Changes to Detect is reconfigured, and a monitored change occurs.']","['ChangesToDetect Format on page 48, Attribute Name Description Access AuditValue The AuditValue is a unique value that is generated when a project is downloaded to the controller or loaded from removable storage.']"
40,,,['What is the default value of the ChangesToDetect mask?'],['0xFFFFFFFFFFFFFFFF'],['ChangesToDetect']
41,,,['What events always trigger an AuditValue update?'],"['project downloaded to the controller, when Changes to Detect is reconfigured.']",['Changes To Detect Format on page 48']
42,,,['How do you retrieve system data from a controller?'],['Use a Message (MSG) instruction that is configured as follows: On this tab For this item Type or select Which means Configuration Message Type CIP Generic Execute a Control and Information Protocol command. Service Type Custom Use a Get System Value (GSV) instruction to monitor the MODULE object for either the controller or a specific module.'],['Get Memory Information from the Controller']
43,,,['How can you estimate controller memory offline?'],['Estimate Memory Information Offline'],['Estimate Controller Memory Information Estimate Memory Information Offline']
44,,,"[""What does the 'Program properties modified' log entry record?""]","['Inhibit checkbox, Main routine changed, Fault routine changed']",['Program properties modified •Property changes logged:']
45,,,['How do you monitor communication health for a specific device?'],"['Use a Get System Value (GSV) instruction to monitor the MODULE object for either the controller or a specific module. If the connection times out, continue operation without invoking a major fault on the controller.']",['Monitor the Health of a Module']
46,,,['How are buffered log entries written to removable media?'],['The buffered log entries are written to the removable media when its internal buffer becomes 80% full. This can be done automatically or by sending a message instruction.'],"['The Changes T o Detect value has changed, The Controller Log Buffer']"
47,,,['What is the role of the Major Fault Handler?'],['The Major Fault Handler executes logic when a major fault occurs.'],['Configure a Major Fault to Occur']
48,,,['How can you estimate the largest contiguous block of memory?'],"['Follow these steps to estimate controller memory. 1.Start the Logix Designer application and open a controller project. 2.On the Online toolbar (above the Controller Organizer), click the controller properties icon. The Controller Properties dialog box appears. 3.Select the Memory tab. 4.In the ‘Estimated Data and Logic Memory section’ , view the memory information since the last estimate. 5.Click Estimate to re-estimate the amount of controller memory.']","['Estimate Memory Information Offline, View Run-time Memory Information']"
49,,,['What happens if the controller buffer is full?'],"['entries will continue to be saved in the buffer in a circular fashion. As new entries are stored, the oldest entries will be discarded.']",['Controller Log Files and the Removable Media']
50,,,['What does the attribute ‘Free I/O Memory’ indicate?'],['The amount of free I/O memory available in the controller.'],['Determine Controller Memory Information']
51,,,['What does a major fault code 3/16 signify?'],['All major faults cleared'],['Change Detection Chapter 4']
52,,,['How do you configure the controller to save logs automatically?'],"['Sending a message instruction to the controller, using a message type of “CIP Generic” and a service type of “Controller Log Automatic W rite Set”, with a value of 1 will turn on automatic writes.']","['Writing the Controller Log to the CompactFlash Card, Configuring Automatic Save']"
53,,,['What happens if the CompactFlash card is full?'],['the system will behave as if the removable media is not present.'],['Controller Log Files and the Removable Media']
54,,,['What are produced and consumed tags used for?'],"['Produced tags are used to store the value of an attribute, and consumed tags are used to set the value of an attribute.']","['Chapter 5 Access Status Information, Chapter 4 Change Detection']"
55,,,['What does a ‘Correlation Affected’ event mean?'],"['Indicates a change occurred in the controller that affects the synchronization between the controller and the project file that was downloaded to it. Tip: Correlation Affected can include detection of a component being created, deleted, or modified, or logic was modified.']",['Bit number Event description']
56,,,['What is the purpose of the ‘Execute Modification Count’?'],['The Execution Modification Count tracks the number of changes that occur that can change the behavior of a running controller.'],['Controller Logging Chapter 3']
57,,,['How do you configure change detection programmatically?'],"['Use SSV, GSV or MSG instructions.']","['Chapter 4 Change Detection, TIP Rockwell Automation Publication 1756-PM015E-EN-P - November 2012 51Chapter 5 Access Status Information']"
58,,,['What are removable media used for in Logix5000 controllers?'],"['used to write controller log entries, including CompactFlash card']","['Controller Logging, TIP Some Logix controllers support additional types of removable media that can be used to write the controller log entries.']"
59,,,"['What is a DINT data type, and how is it used?']",['A DINT data type is a 32-bit integer that combines the lower and upper 16 bits into one 32-bit value. It can be used to store a bit mask of changes monitored for a controller.'],"['Chapter 4 Change Detection, Change Detection if you are using version 20 or later of the application. See Change Detection in Logix Designer Application on page 50, Chapter 3 Controller Logging']"
