,Source(T/F),Answer(T/F),Question,Answer,Source,Notes
19,T,T,['What are the physical and chemical properties of the product?'],['Fluid colorless odor mild pH-value 6-7.5 melting point -20 °C boiling point 229 °C density 1.13 g/cm³ flash point >200 °C vapor pressure <0.1 hPa viscosity 55-65 mm²/s'],"['Physical and chemical properties, 9.1. Information on basic physical and chemical properties']",
20,T,T,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['Stable when stored and used properly. No dangerous reactions known.'],"['9.2. Other information, 10.3. Possibility of hazardous reactions']",
21,T,T,['What are the possible hazardous decomposition products of the product?'],['No decomposition products are mentioned.'],['10.3. Possibility of hazardous reactions'],
22,T,T,['What is the toxicological information available for the product?'],"['Acute toxicity: Based on available data, the classification criteria are not met. LD/LC50 values that are relevant for classification : 25322-68-3polyethylene glycol Oral LD 50>15000 mg/kg (rat) DermalLD 50>20000 mg/kg (rabbit) >2000 mg/kg (rat). Primary irritant effect: on the skin: Based on available data, the classification criteria are not met. on the eye: Based on available data, the classification criteria are not met. Sensitization: Based on available data, the classification criteria are not met.']",['11.1. Information on toxicological effects'],
23,T,T,['What are the safety precautions and handling instructions for using the product?'],['No special measures required for safe handling. Keep container tightly closed when storing. Observe national regulations when storing in a common storage facility.'],"['Handling and storage, 7.1. Precautions for safe handling and 7.2. Conditions for safe storage']",
24,T,T,['What are the potential hazards associated with the product?'],"['The product does not contain any organic halogen compounds (AOX), nitrates, heavy metal compounds or formaldehydes.']",['2.3. Other hazards'],
25,T,T,['What are the specific health effects or risks associated with exposure to the product?'],['No further relevant information available. May cause long-term adverse effects in the aquatic environment.'],"['12.1. Toxicity, 4.2. Most important symptoms and effects, both acute and delayed']",
26,T,T,['What are the emergency procedures in case of inhalation of the product?'],['Supply fresh air; consult doctor in case of complaints.'],['4.1. Description of first aid measures'],
27,T,T,['What are the emergency procedures in case of skin contact with the product?'],['Generally the product does not irritate the skin. Rinse opened eye for several minutes under running water.'],['First-aid measures · 4.1. Description of first aid measures · After skin contact: '],
28,T,T,['What are the emergency procedures in case of eye contact with the product?'],['Rinse opened eye for several minutes under running water.'],['4.1. Description of first aid measures'],
29,T,T,['What are the emergency procedures in case of ingestion of the product?'],['Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],['4.1. Description of first aid measures'],
30,T,T,['What is the waste disposal method for the product?'],"['Can be burned with household garbage after consulting with the waste disposal facility operator and the pertinent authorities and adhering to the necessary technical regulations. Non contaminated packagings can be used for recycling, empty contaminated packagings thoroughly and disposal must be made according to official regulations.']",['Disposal considerations · 13.1. Waste treatment methods'],
31,T,T,['Are there any specific storage requirements or conditions for safely storing the product?'],['Keep container tightly closed. Observe the national regulations.'],"['Storage: Requirements to be met by storerooms and receptacles, Information about storage in one common storage facility']",
32,T,T,['What is the shelf life of the product?'],"['{""answer"": Stable when stored and used properly"", ""source"": Stability and reactivity}\n']",[JSONDecodeError('Expecting value: line 1 column 12 (char 11)')],
33,T,T,['What are the composition and ingredients of the product?'],['25322-68-3polyethylene glycol >99%'],['Composition/information on ingredients · Dangerous components: '],
34,T,T,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Stable when stored and used properly. No decomposition if used according to specifications.'],['10.2. Chemical stability · 10.3. Possibility of hazardous reactions or incompatibilities with other substances or materials'],
35,T,F,['What is the odor of the product?'],['Not determined'],['9. Physical and chemical properties/ 4.1. Description of first aid measures'],
36,T,T,['What is the boiling point of the product?'],['229 °C (444 °F)'],['Boiling point/Boiling range: '],
37,T,T,['Is the product flammable?'],['Not applicable.'],"['Flammability (solid, gaseous)']",
38,T,T,['What is the solubility of the product?'],['Not miscible or difficult to mix.'],['Solubility in / Miscibility with Water'],
39,T,T,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['{""answer"": ""Yes, the product is stable when stored and used properly."", ""source"": ""Stability and reactivity - 10.2. Chemical stability""} \n\n{""answer"": ""No dangerous decomposition products are known."", ""source"": ""Stability and reactivity - 10.6. Hazardous decomposition products""}\n']",[JSONDecodeError('Extra data: line 3 column 1 (char 139)')],
40,T,T,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['The usual precautionary measures for handling chemicals should be followed. Protective gloves are recommended, goggles during refilling. No special respiratory protection is required.']",['Exposure controls/personal protective equipment'],
41,T,T,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],['No special measures required.'],['6.2. Environmental precautions: No special measures required.'],
42,T,T,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No'],['Trade name / Article No: KLEIBERIT 826.0 (Contd. of page 3) 43.0·'],
,42/43,42/43,,,,
