,Question,Answer,Source
17,['What precautions should be taken for safe handling and storage of the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion-proof equipment. Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection/face protection. Store in well-ventilated place']","['Section 7: Handling and Storage, Section 1: Identification']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"['Good industrial hygiene practices requires that exposure be maintained below the TLV. This is preferably achieved through the provision of adequate ventilation. When exposure cannot be adequately controlled in this way, personal respiratory protection should be employed.']",['Section 7: Handling and Storage']
19,['What are the physical and chemical properties of the product?'],"['BOILING POINT: N/A, MELTING POINT: N/A, VAPOR PRESSURE: N/A, SPECIFIC VAPOR DENSITY (AIR = 1): N/A, SPECIFIC GRAVITY: N/A, SOLUBILITY IN WATER: N/A']",['Section 9: Physical and Chemical Properties']
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],['STABLE. NON -REACTIVE'],"['Section 10: Stability and Reactivity, Section 9: Physical and Chemical Properties']"
21,['What are the possible hazardous decomposition products of the product?'],['NONE'],['Section 10: Stability and Reactivity']
22,['What is the toxicological information available for the product?'],"['No human carcinogen, No harmful effects known other than those associated with the suspended inert solids in water, This product contains the following chemical(s) listed under New Jersey’s Right to Know Program: N-PROPANOL']","['Section 2: Hazard(s) Identification, Section 1: Ecological Information, Section 5: Regulatory Information']"
23,['What are the safety precautions and handling instructions for using the product?'],"['Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking. Keep container tightly closed. Keep cool. Ground and bond container and receiving equipment. Use explosion -proof equipment. Use non-sparking tools. Take action to prevent static discharges. Wear protective glove/protective clothing/eye protection /face protection. Store in well-ventilated place']","['Symbol(s) Signal Word (s), PRECAUTION TO BE TAKEN DURING HANDLING AND STORAGE, SAFETY DATA SHEET 5-15-2015']"
24,['What are the potential hazards associated with the product?'],"['Serious Eye Damage – Category 1, Flammable Liquid']",['Section 2: Hazard(s) Identification']
25,['What are the specific health effects or risks associated with exposure to the product?'],"['Serious Eye Damage – Category 1, Flammable Liquid, No Acute Health Effects Expected, The summated LD50 is >50000 mg/kg']","['Section 2: Hazard(s) Identification, Section 4: First Aid Measures, Section 11: Toxicological Information']"
26,['What are the emergency procedures in case of inhalation of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']","['Section 3: Composition/Information on Ingredients, Section 6: Accidental Release Measures']"
27,['What are the emergency procedures in case of skin contact with the product?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Section 6: Accidental Release Measures']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']",['Section 7: Handling and Storage/Response']
29,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse skin with water [or shower]. Take off immediately all contaminated clothing. IF IN EYES. Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing']","['Response, Section 3: Composition/Information on Ingredients, Section 4: First Aid Measures']"
30,['What is the waste disposal method for the product?'],"['Dispose of in accordance with Federal, State and Local Regulations, Dispose of in a manner that complies with RCRA Hazard Class (40 CFR 261)']","['Section 1.3: Disposal Considerations, Section 6: Accidental Release Measures']"
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Away from heat, hot surfaces, sparks, open flames and other ignition sources. Store in well-ventilated place.']",['Section 1: Identification & Section 7: Handling and Storage']
32,['What is the shelf life of the product?'],['I dont know'],['N/A']
33,['What are the composition and ingredients of the product?'],['N-Propanol'],['Section 3: Composition/Information on Ingredients']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],"['NONE INCOMPATIBILITY (MATERIALS TO AVOID), HAZARDOUS POLYMERIZATION PRODUCTS']","['Section 10: Stability and Reactivity, Section 11: Toxicological Information']"
35,['What is the odor of the product?'],['I dont know'],['N/A']
36,['What is the boiling point of the product?'],['N/A'],['Section 9: Physical and Chemical Properties']
37,['Is the product flammable?'],"['Highly flammable liquid vapor, Not combustible']","['Symbol(s) Signal Word (s), Section 5: Fire -Fighting Measures']"
38,['What is the solubility of the product?'],['N/A'],['Section 9: Physical and Chemical Properties']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['Yes, stable; No hazardous decomposition products']",['Section 10: Stability and Reactivity']
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Good industrial hygiene practices requires that exposure be maintained below the TLV through provision of adequate ventilation. When exposure cannot be adequately controlled in this way, personal respiratory protection should be employed.']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Dispose of in accordance with Federal, State and Local regulations, Dispose of in accordance with all applicable regulations']","['Section 6: Accidental Release Measures, Section 13: Disposal Considerations']"
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No'],['Section 3: Composition/Information on Ingredients']
