,Question,Answer,Source
25,['What are the specific health effects or risks associated with exposure to the product?'],['No special measures required. After inhalation: Supply fresh air; consult doctor in case of complaints. After skin contact: Generally the product does not irritate the skin. After eye contact: Rinse opened eye for several minutes under running water. After swallowing: Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],['4.1. Description of first aid measures']
26,['What are the emergency procedures in case of inhalation of the product?'],['Supply fresh air; consult doctor in case of complaints.'],['4.1. Description of first aid measures']
27,['What are the emergency procedures in case of skin contact with the product?'],['Rinse skin with water [or shower]. Take off immediately all contaminated clothing.'],['Accidental release measures']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.']",['Section 6: Accidental Release Measures']
29,['What are the emergency procedures in case of ingestion of the product?'],['Rinse out mouth with plenty of water. Rinse out mouth and then drink plenty of water. Seek medical treatment.'],['Section 4: First Aid Measures']
30,['What is the waste disposal method for the product?'],"['Dispose of in accordance with Federal, State and Local regulations, Can be burned with household garbage after consulting with the waste disposal facility operator and the pertinent authorities and adhering to the necessary technical regulations.']","['Section 13: Disposal Considerations, Section 1.3: Disposal Considerations']"
31,['Are there any specific storage requirements or conditions for safely storing the product?'],['Keep container tightly closed. Observe the national regulations.'],"['7.2. Conditions for safe storage, including any incompatibilities']"
32,['What is the shelf life of the product?'],['Stable when stored and used properly.'],['Section 10.2: Chemical stability']
33,['What are the composition and ingredients of the product?'],"['71-23-8, N-Propanol, 25322-68-3polyethylene glycol']",['Section 3: Composition/Information on Ingredients']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['None'],['Section 10: Stability and Reactivity']
35,['What is the odor of the product?'],['No special measures required.'],['4.1. Description of first aid measures']
36,['What is the boiling point of the product?'],['229 °C (444 °F)'],['Section 9: Physical and Chemical Properties']
37,['Is the product flammable?'],['Not combustible; Highly flammable liquid vapor'],"['Section 5: Fire -Fighting Measures, Section 9: Physical and Chemical Properties']"
38,['What is the solubility of the product?'],['Not miscible or difficult to mix.'],['Solubility in / Miscibility with Water: ']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['Yes, the product is stable when stored and used properly. No decomposition products are expected.']","['Section 10: Stability and Reactivity, Subsection 10.2. Chemical stability, Subsection 10.3. Possibility of hazardous reactions']"
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['None required, Keep container tightly closed, Store in well-ventilated place, Use non-sparking tools, Take action to prevent static discharges, Wear protective glove/protective clothing/eye protection/face protection']","['Section 7: Handling and Storage, Section 8: Exposure Controls/Personal Protection']"
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],['Disposal must be made according to official regulations. Store in well-ventilated place.'],"['Section 12: Ecological Information, Section 7: Handling and Storage']"
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No further relevant information available. No specific chemical identity or exact percentage of the composition can be disclosed for the product.'],"['9.2. Other information, 10.3. Possibility of hazardous reactions']"
