,Question,Answer,Source
22,['What is the toxicological information available for the product?'],"['The product can cause severe abdominal cramping, diarrhea, vomiting, sweating, confusion, cardiac abnormalities, neurological abnormalities, infrequent urination, intoxication or CNS depression. If left untreated, it will metabolize to cause metabolic acidosis, renal failure, hyperkalemia, hyponatremia, paralysis, cardiac failure or death. It is toxic to kidneys, liver, central nervous system and heart.']",['SECTION 11: TOXICOLOGICAL INFORMATION']
23,['What are the safety precautions and handling instructions for using the product?'],"['Wear protective eyeglasses or chemical safety goggles and follow OSHA eye-and face-protection regulations. Wear chemically protective gloves, boots, aprons and gauntlets to prevent prolonged or repeated skin contact. Store in a cool dry, ventilated area.']","['SECTION 7: HANDLING AND STORAGE, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']"
24,['What are the potential hazards associated with the product?'],"['Acute toxicity, dermal (Category 5), Acute toxicity, oral (Category 4), Skin Irritation (Category 3), Serious eye damage (Category 1), Reproductive toxicity (Category 2). The product may cause nausea and vomiting, abdominal discomfort or diarrhea, dizziness, and drowsiness upon ingestion. It is toxic to kidneys, liver, central nervous system, and heart. Metabolic products of diethylene glycol produce acidosis and organ toxicity effects.']",['SECTION 11: TOXICOLOGICAL INFORMATION']
25,['What are the specific health effects or risks associated with exposure to the product?'],"['The product is toxic to kidneys, liver, central nervous system and heart. Metabolic products of diethylene glycol produce acidosis and organ toxicity effects. Symptoms include severe abdominal cramping, diarrhea, vomiting, sweating, confusion, cardiac abnormalities, neurological abnormalities, infrequent urination, intoxication or CNS depression. If left untreated, product will metabolize to cause metabolic acidosis, renal failure, hyperkalemia, hyponatremia, paralysis, cardiac failure or death.']",['Toxicological Information and Target Organs']
26,['What are the emergency procedures in case of inhalation of the product?'],"['Remove victim to fresh air. If not breathing, give artificial respiration. If breathing is difficult, give oxygen. Consult a physician.']",['SECTION 7: HANDLING AND STORAGE']
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If skin irritation occurs, get medical advice / attention.']",['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']
28,['What are the emergency procedures in case of eye contact with the product?'],['Wear protective eyeglasses or chemical safety goggles'],['SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION']
29,['What are the emergency procedures in case of ingestion of the product?'],"['If ingested, DO NOT wait for symptoms to develop before getting treatment. Seek medical attention immediately for poisoning.']",['SECTION 11: TOXICOLOGICAL INFORMATION']
30,['What is the waste disposal method for the product?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in a cool dry, ventilated area. Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs.']","['SECTION 7: HANDLING AND STORAGE, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']"
32,['What is the shelf life of the product?'],['stable at room temperature in closed containers under normal storage and handling conditions.'],['SECTION 10: STABILITY AND REACTIVITY']
33,['What are the composition and ingredients of the product?'],"['The mixture consists of 20-80% ingredients of unknown acute toxicity, including Triethylene Glycol Monomethyl Ether (5-50%), Triethylene Glycol Monoethyl Ether (5-50%), Triethylene Glycol Monobutyl Ether (5-50%), Tetrathylene Glycol Monobutyl Ether (5-20%), Polyethylene Glycol (5-20%), Diethylene Glycol Monobutyl Ether (5-20%), Diethylene Glycol (5-15%), Diethylene Glycol Monomethyl Ether (<5%), Diethylene Glycol Monoethyl Ether (<5%), Polyalkylene Glycol Monobutyl Ether (5-20%), Polyalkylene Glycol Monomethyl Ether (5-20%), and Polyalkylene Glycols (5-20%) as well as a Trade Secret Inhibitor.']",['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['none under normal handling; none known.'],['SECTION 10: STABILITY AND REACTIVITY and SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
35,['What is the odor of the product?'],['Mild'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
36,['What is the boiling point of the product?'],['480°F (248.9°C)'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
37,['Is the product flammable?'],"['No, the product is not flammable.']",['SECTION 5: FIRE-FIGHTING MEASURES']
38,['What is the solubility of the product?'],['soluble'],['SECTION 9: PHYSICAL AND CHEMICAL PROPERTIES']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['The product is stable at room temperature in closed containers under normal storage and handling conditions. Thermal oxidative decomposition can produce carbon monoxide, carbon dioxide and unknown organic compounds.']",['SECTION 10: STABILITY AND REACTIVITY']
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Store in a cool dry, ventilated area. Provide general or local exhaust ventilation systems to maintain airborne concentrations below OSHA PELs. Controls should be such that adequate ventilation is provided. Wear protective eyeglasses or chemical safety goggles, per OSHA eye-and face-protection regulations (29 CFR 1910.133). Seek professional advice prior to respirator selection and use. If necessary, wear a MSHA / NIOSH approved respirator. Select respirator based on its suitability to provide adequate worker protection for given working conditions, level of airborne contamination, and presence of sufficient oxygen.']","['SECTION 7: HANDLING AND STORAGE, SECTION 8: EXPOSURE CONTROLS / PERSONAL PROTECTION ENGINEERING CONTROLS']"
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Whatever cannot be saved for recovery or recycling should be disposed of in an approved waste facility in accordance with Federal, State/Provincial and Local requirements. WHENEVER POSSIBLE, MATERIAL SHOULD NOT BE ALLOWED TO ENTER SEWAGE DISPOSAL SYSTEMS.']",['SECTION 13: DISPOSAL CONSIDERATIONS']
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['3% of the composition of this material has been withheld as a trade secret.'],['SECTION 3: COMPOSITION / INFORMATION ON INGREDIENTS']
