,Question,Answer,Source
10,['What are the first aid measures in case of skin contact?'],"[""In case of skin contact, first aid measures include washing the affected area with soap and water. If signs or symptoms develop, get medical attention immediately. It's essential to note that 56% of the mixture consists of ingredients of unknown acute inhalation toxicity, so caution is advised when handling this substance. To prevent skin contact, wear gloves made from Nitrile Rubber, approved to relevant local standards, and protective clothing suitable for exposure levels and other use conditions. Consult with your glove and/or protective clothing manufacturer for selection of appropriate compatible gloves/protective clothing.""]","['SECTION 4: First aid measures, SECTION 3: Composition/information on ingredients, and SECTION 1: Identification (for context)']"
11,['What are the first aid measures in case of eye contact?'],"['In case of eye contact, flush with large amounts of water. Remove contact lenses if easy to do. Continue rinsing. If signs/symptoms persist, get medical attention. It is essential to address eye irritation promptly and seek medical help if symptoms worsen or persist. Always prioritize eye protection when handling chemicals, as specified in Section 6 (Personal Protection). Use gloves and/or protective clothing approved to relevant local standards to prevent skin contact, which can also reduce the risk of eye exposure. Consult with your glove and/or protective clothing manufacturer for selection of appropriate compatible gloves/protective clothing. Furthermore, ensure that you are working in a well-ventilated area, as specified in Section 3 (Composition/information on ingredients), and follow all instructions provided by the manufacturer to minimize the risks associated with this product.']","['SECTION 4: First aid measures, SECTION 6: Personal protection']"
12,['What are the first aid measures in case of ingestion?'],"['""In case of ingestion, first aid measures include rinsing the mouth. If you feel unwell after ingestion, it is essential to get medical attention. Additionally, consider the potential health effects mentioned in Section 11, such as gastrointestinal irritation, which may cause symptoms like abdominal pain, stomach upset, nausea, vomiting, and diarrhea. It is also crucial to be aware of single exposure effects like cardiac sensitization, which can lead to irregular heartbeat (arrhythmia), faintness, and chest pain.\n\nKey safety considerations include:\n\n* Being cautious when handling the substance and keeping it away from children.\n* Avoiding release to the environment and taking necessary precautions during spill or leak situations.\n* Following proper handling and storage procedures, such as keeping the product out of reach of children, avoiding heat/sparks/open flames/hot surfaces, and not spraying on an open flame or other igniti']","['Practical recommendations include:\n\n* Always follow local regulations and consult with appropriate authorities or experts for guidance on handling, storage, and emergency situations.\n* When working with this substance, ensure good ventilation to prevent inhalation of vapors or fumes. Use personal protective equipment (PPE) as necessary, based on the results of an exposure assessment.\n\nCritical warnings include:\n\n* Avoid release to the environment to prevent harm to humans, animals, and plants.\n* Keep the product away from oxidizing agents to prevent explosions or fires.\n* Do not get in eyes, on skin, or on clothing when handling this substance.\n\nPrioritize getting medical attention if you experience any symptoms after exposure. Consider consulting with a healthcare professional for guidance on potential health effects and necessary precautions."", \n  ']"
13,['What are the suitable extinguishing media for a fire involving the product?'],"['""For a fire involving 3M Hi-Strength Spray Adhesive 90, suitable extinguishing media include water or foam. However, it\'s essential to note that this product is extremely flammable, and special hazards arise from the substance or mixture, including explosive pressure buildup in closed containers exposed to heat from fire. To ensure effective extinguishing and prevent further risks, the following key safety considerations should be taken into account:\n\n1.  **Maintain a safe distance**: Keep a safe distance from the fire and avoid direct contact with the product, as it can release toxic fumes or explode due to increased pressure.\n2.  **Choose the correct extinguishing agent**: Select an extinguishing media that is compatible with the type of fire (Class A or Class B) and not likely to react with the product\'s components. Water or foam are suitable options for this particular substance.\n3.  **Wear personal protective equipment (PPE)**: Ensure all personnel involved in firefighting operations wear PPE, including respirators and heat-resistant gloves, to prevent exposure to toxic fumes and burns.\n4.  **Evacuate the area**: Clear the surrounding area of people, and if possible, evacuate buildings or structures where the fire is located.\n5.  **Consult local authorities and experts**: In case of a large-scale emergency or complex situation, consult with local fire departments, emergency services, or specialized hazmat teams for guidance and assistance.\n\nIt\'s crucial to remember that following local regulations and taking into account the specific context of each situation are essential in ensuring effective extinguishing operations and preventing further risks. Always follow established safety protocols and seek expert advice when necessary."",']","['""Section 5: Special hazards arising from the substance or mixture, Section 6: Accidental release measures""\n']"
14,['What are the special hazards arising from the substance during a fire?'],"['During a fire, special hazards arising from the substance include: The risk of closed containers building pressure and potentially exploding. The release of hazardous decomposition products such as carbon monoxide and carbon dioxide, which can be irritating to the respiratory system. It is essential to use a fire-fighting agent suitable for the surrounding fire and to follow proper extinguishing procedures to minimize these hazards. Additionally, it is crucial to evacuate the area, keep away from heat/sparks/open flames/hot surfaces, and ventilate the area with fresh air to prevent the buildup of flammable gases or vapors. If necessary, use a well-ventilated area or an operating exhaust hood to store leaking containers. Remember that the presence of a motor in the spill area could be an ignition source, potentially causing the flammable gases or vapors to burn or explode. It is also critical to avoid release to the environment and to dispose of collected material as soon as possible.']","['SECTION 5: Fire-fighting measures, SECTION 6: Accidental release measures']"
15,['Are there any special fire handling procedures required for the product?'],"['""According to Section 5: Fire-fighting measures, there are special fire handling procedures required for this product. The SDS states that \'Closed containers exposed to heat from fire may build pressure and explode.\' This indicates a potential explosion hazard during firefighting efforts.\n\nKey safety considerations:\n* The substance can produce hazardous decomposition products (carbon monoxide and carbon dioxide) during combustion.\n* Firefighters should use a fire fighting agent suitable for the surrounding fire to minimize risks.\n* There are no special protective actions anticipated for firefighters, but caution is still advised due to potential explosion hazards.\n\nPractical recommendations or solutions:\n* Firefighting personnel should exercise extreme caution when approaching fires involving this substance.\n* The use of proper PPE (personal protective equipment) and ventilation in the fire area is crucial to prevent exposure to hazardous fumes.\n* If possible, isolate the fire and allow it to burn in a well-ventilated area, away from confined spaces or areas with minimal air exchange.\n\nCritical warnings or precautions:\n* Firefighters should be aware of potential explosion hazards when approaching fires involving closed containers.\n* Ensure proper ventilation and use of PPE when handling this substance.\n* Follow local regulations and consult with experts for complex situations."",\n']","['""Section 5: Fire-fighting measures""\n']"
16,"['How should accidental releases, spill, or leak of the product be handled?']","['""In case of an accidental release, spill, or leak of 3M™ Hi-Strength Spray Adhesive 90, it is essential to handle the situation with caution. First, evacuate the area immediately and keep away from heat, sparks, open flames, hot surfaces, and any potential igniti']","['\nKey safety considerations:\n\n* The product can cause flammable gases or vapors in the spill area to burn or explode.\n* The substance may release irritant vapors or gases during combustion.\n* Hazardous decomposition products include carbon monoxide, carbon dioxide, and irritant vapors or gases.\n\nPractical recommendations or solutions:\n\n1.  If possible, seal the leaking container to prevent further spills.\n2.  Place leaking containers in a well-ventilated area, preferably under an operating exhaust hood, or outdoors on an impermeable surface until suitable packaging is available.\n3.  Close any cylinder or container to minimize potential hazards.\n4.  Collect as much of the spilled material as possible using non-sparking tools and place it in a metal container approved for transportation by appropriate authorities.\n5.  Dispose of collected material as soon as possible, following local regulations.\n\nCritical warnings or precautions:\n\n* Avoid releasing the product into the environment.\n* Do not use the product in confined areas with minimal air exchange.\n* Keep the product away from children and follow storage instructions carefully to prevent accidents.\n* If you are unsure about how to handle an accidental release, spill, or leak, consult local authorities or experts for guidance.\n\nBy following these steps and taking necessary precautions, you can minimize risks associated with handling 3M™ Hi-Strength Spray Adhesive 90."",\n']"
17,['What precautions should be taken for safe handling and storage of the product?'],"['""For safe handling and storage of the product, it is essential to follow the guidelines outlined in Section 7: Handling and Storage. Specifically:\n\nPrecautions for safe handling (Section 7.1):\n- Do not use in a confined area with minimal air exchange.\n- Keep out of reach of children.\n- Keep away from heat/sparks/open flames/hot surfaces.\n- No smoking.\n- Do not spray on an open flame or other igniti']","[' Do not pierce or burn, even after use.\n- Do not breathe dust/fume/gas/mist/vapors/spray.\n- Do not get in eyes, on skin, or on clothing.\n- Do not eat, drink, or smoke when using this product.\n- Wash thoroughly after handling.\n\nConditions for safe storage (Section 7.2):\n- Store in a well-ventilated place.\n- Keep container tightly closed.\n- Protect from sunlight.\n- Do not expose to temperatures exceeding 50°C/122°F.\n- Store away from heat.\n- Store away from acids.\n- Store away from oxidizing agents.\n\nIt is also crucial to follow the exposure controls and personal protection guidelines in Section 8: Exposure Controls/Personal Protection, as some ingredients have specific occupational exposure limits.\n\nCritical safety considerations:\n- Be aware of potential hazards related to flammable gases or vapors in the spill area that could burn or explode.\n- Avoid release to the environment.\n- Take necessary precautions for fire-fighters during emergency situations.\n\nActionable recommendations:\n- Familiarize yourself with local regulations and consult with experts as needed for proper handling, storage, and disposal of the product.\n- Implement regular safety audits and training programs for employees working with this substance.\n- Utilize well-ventilated areas and proper equipment for containing spills to prevent environmental harm and worker exposure.\n\nFollow-up and verification:\n- Double-check local regulations and industry standards before implementing any new procedures or guidelines.\n- Schedule regular reviews of your handling, storage, and disposal practices to ensure ongoing compliance with regulatory requirements.\n- Consider consulting with experts in safety management or hazardous materials handling for specialized guidance on complex issues."",\n\n']"
18,['What are the exposure controls and personal protection measures recommended for the product?'],"[""For exposure controls and personal protection measures, refer to SECTION 8: Exposure controls/personal protection. Key recommendations include using general dilution ventilation and/or local exhaust ventilation to control airborne exposures, selecting gloves and/or protective clothing approved to relevant local standards for skin contact prevention, and wearing respirators as part of a full respiratory protection program if exposure assessment indicates a need. Additionally, eye/face protection (indirect vented goggles) should be used based on exposure assessment results. It's essential to consult with the manufacturer for compatible gloves and/or protective clothing selection. Respirator type selection depends on exposure assessment results, with half facepiece or full facepiece supplied-air respirators recommended. Organic vapor respirators may have a short service life, so consult the manufacturer for suitability in specific applications. When handling the product, follow safe handling procedures, avoid confined areas, and store it away from heat sources, oxidizing agents, and children. Always refer to SECTION 8 for detailed control parameters, including occupational exposure limits and recommended PPE.""]",['SECTION 8: Exposure controls/personal protection']
19,['What are the physical and chemical properties of the product?'],"['""The product\'s physical and chemical properties include a clear sweet fruity odor, gas general physical form, aerosol specific physical form, flash point of -42.00 ºF, evaporation rate of 1.9, vapor density of 2.97 (Ref Std: AIR=1), density of 0.726 g/ml, and specific gravity of 0.726 (Ref Std: WATER=1). However, some critical properties like odor threshold, pH, melting point, boiling point, and autoignition temperature are not available in the provided Safety Data Sheet.\n\nWhen handling this product, it is essential to consider its reactivity with strong oxidizing agents and strong acids, as well as its potential for hazardous decomposition products during combustion. Users should exercise caution when working with heat and incompatible materials.\n\nTo ensure user safety, select gloves from approved materials like nitrile rubber based on the results of an exposure assessment. When respirators are needed, use half-facepiece or full-facepiece supplied-air respirators, considering that organic vapor respirators may have short service life.\n\nCritical warnings include avoiding heat and incompatible materials, as these can increase the risk of hazardous reactions or decomposition products. Regularly assess exposure levels to determine necessary personal protective equipment (PPE) and respirator usage.\n\nPrioritize using the product in well-ventilated areas, following local regulations, and consulting with experts for specific application guidance. The Safety Data Sheet emphasizes user responsibility for determining the product\'s fitness for a particular purpose and suitability for their method of use or application."",']","['""SECTION 9: Physical and chemical properties, SECTION 10: Stability and reactivity""\n']"
20,['Is the product stable or reactive? Are there any hazardous reactions to be aware of?'],"['Based on Section 10.2, Chemical stability is Stable. However, hazardous polymerization will not occur (Section 10.3). To ensure safe handling and storage, avoid exposure to heat (Section 7.1), store the product in a well-ventilated place (Sections 7.2 and 9.5), and keep it away from oxidizing agents, acids, and open flames (Sections 7.1 and 10.5). If exposed, follow the recommended response procedure in Section 8.4, and consult medical professionals or poison centers if necessary. Additionally, dispose of the product and its container according to local regulations (Section 9.6) to prevent environmental harm. Remember that 41% of this mixture consists of ingredients with unknown acute oral toxicity, 53% have unknown acute dermal toxicity, and 56% are unknown for acute inhalation toxicity (Section 2.3), emphasizing the need for proper handling and storage.']","['Sections 10.2, 10.3, 7.1, 7.2, 9.5, 8.4, 9.6, and 2.3 of the Safety Data Sheet']"
21,['What are the possible hazardous decomposition products of the product?'],[''],[IndexError('list index out of range')]
22,['What is the toxicological information available for the product?'],"['The toxicological information available for the product includes potential health effects such as inhalation hazards (may be harmful if inhaled), simple asphyxiation (signs/symptoms may include increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma, and may be fatal), respiratory tract irritation (cough, sneezing, nasal discharge, headache, hoarseness, nose and throat pain), mild skin irritation (localized redness, swelling, itching, dryness), moderate eye irritation (redness, swelling, pain, tearing, blurred or hazy vision), gastrointestinal irritation (abdominal pain, stomach upset, nausea, vomiting, diarrhea), CNS depression (headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness, and unconsciousness), cardiac sensitization (irregular heartbeat, faintness, chest pain, may be fatal). The product also contains ingredients of unknown acute oral toxicity (41%), dermal toxicity (53%), and inhalation toxicity (56%). It is recommended to handle the product with care, avoid inhaling vapors, wear protective gear when handling or spraying the adhesive, and follow proper ventilation procedures. If exposure occurs, rinse with water, remove contaminated clothing, and seek medical attention if symptoms persist.']",['SECTION 11: Toxicological information']
23,['What are the safety precautions and handling instructions for using the product?'],"['""To use this product safely, follow these key instructions:\n\n1. **Precautions for safe handling**: Do not use in a confined area with minimal air exchange. Keep out of reach of children. Keep away from heat/sparks/open flames/hot surfaces. - No smoking. Do not spray on an open flame or other igniti']","['o not pierce or burn, even after use. Do not breathe dust/fume/gas/mist/vapors/spray. Do not get in eyes, on skin, or on clothing. Do not eat, drink or smoke when using this product. Wash thoroughly after handling. Avoid release to the environment. Avoid contact with oxidizing agents (eg. chlorine, chromic acid etc.)\n\n2. **Conditions for safe storage**: Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F. Protect from sunlight. Store in a well-ventilated place. Store away from heat. Store away from acids. Store away from oxidizing agents.\n\n3. **Exposure controls/personal protection**: Ensure adequate ventilation when using this product. Wear protective equipment, such as gloves and safety glasses, to prevent skin and eye irritation. If handling the product outdoors, ensure it is not released into the environment.\n\n**Important notes:**\n\n* This product contains flammable gases or vapors that can ignite in the presence of an open flame or spark.\n* Handling this product requires precautions to prevent skin and eye irritation, inhalation hazards, and release into the environment.\n* Follow local regulations and consult with experts for complex situations involving this product.\n\n**Recommendations:**\n\n* When handling this product, always follow the manufacturer\'s instructions and take necessary precautions to ensure your safety and that of others.\n* Ensure adequate ventilation in working areas and avoid releasing the product into the environment.\n* If you feel unwell or experience any symptoms after exposure to this product, seek medical attention immediately."", \n']"
24,['What are the potential hazards associated with the product?'],[''],[IndexError('list index out of range')]
25,['What are the specific health effects or risks associated with exposure to the product?'],"['The specific health effects or risks associated with exposure to this product include inhalation: may be harmful if inhaled, intentional concentration and inhalation may be harmful or fatal. Simple Asphyxiation: signs/symptoms may include increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma, and may be fatal. Additionally, Respiratory Tract Irritation: signs/symptoms may include cough, sneezing, nasal discharge, headache, hoarseness, and nose and throat pain. Furthermore, Skin Contact: Mild Skin Irritation: signs/symptoms may include localized redness, swelling, itching, and dryness. Eye Contact: Moderate Eye Irritation: signs/symptoms may include redness, swelling, pain, tearing, and blurred or hazy vision. Ingestion: Gastrointestinal Irritation: signs/symptoms may include abdominal pain, stomach upset, nausea, vomiting, and diarrhea. Moreover, Single exposure may cause target organ effects: Central Nervous System (CNS) Depression: signs/symptoms may include headache, dizziness, drowsiness, incoordination, nausea, slowed reaction time, slurred speech, giddiness, and unconsciousness. Cardiac Sensitization: signs/symptoms may include irregular heartbeat (arrhythmia), faintness, chest pain, and may be fatal. It is crucial to take preventive measures such as keeping the product away from heat/sparks/open flames/hot surfaces, not smoking, and using only outdoors or in a well-ventilated area when handling this product. In case of exposure, follow the response procedures outlined on the Safety Data Sheet.']",['Section 11: Toxicological information; Section 10: Stability and Reactivity']
26,['What are the emergency procedures in case of inhalation of the product?'],"['In case of inhalation, evacuate the person to fresh air and keep them comfortable for breathing. If symptoms persist or worsen, get medical attention immediately. It is also essential to note that exposure may increase myocardial irritability, so do not administer sympathomimetic drugs unless absolutely necessary. Always follow local regulations and consult with a POISON CENTER or doctor/physician if unsure about the best course of action.']",['Section 4: First aid measures']
27,['What are the emergency procedures in case of skin contact with the product?'],"['In case of skin contact with the product, the recommended emergency procedure is to wash the affected area with soap and water. If signs or symptoms develop, it is essential to seek medical attention immediately. It is also critical to note that there may be unknown acute dermal toxicity in approximately 53% of the mixture (Section 3: Composition/information on ingredients), which requires prompt medical evaluation. To prevent skin contact, use gloves and/or protective clothing approved to relevant local standards when handling the product, as specified in Section 6: Personal Protection. Additionally, consult with your glove and/or protective clothing manufacturer for selection of appropriate compatible materials.']",['Section 4: First aid measures and Section 6: Personal Protection']
28,['What are the emergency procedures in case of eye contact with the product?'],"[""In case of eye contact with this product, flush the affected area(s) with large amounts of water. Remove contact lenses if easy to do, and continue rinsing. If signs or symptoms persist, get medical attention. It is also essential to note that exposure may increase myocardial irritability, so it's crucial to follow proper first aid measures and consult a medical professional if necessary. Always follow the specific guidance provided in Section 4: First aid measures on this Safety Data Sheet for detailed instructions. When handling this product or any other hazardous material, wear personal protective equipment (PPE), including gloves and safety glasses, to prevent accidental exposure.""]",['Section 4: First aid measures and Section 9: Physical and chemical properties']
29,['What are the emergency procedures in case of ingestion of the product?'],"['In case of ingestion of the product, rinse mouth with water. If you feel unwell, get medical attention immediately. Note that exposure may increase myocardial irritability, so avoid administering sympathomimetic drugs unless absolutely necessary. Refer to Section 4: First aid measures and Section 11: Information on toxicological effects for detailed information. Always follow local regulations and consult with a POISON CENTER or doctor/physician if symptoms persist or worsen. To prevent ingestion, keep the product out of reach of children and do not eat, drink, or smoke when handling it. Wash thoroughly after handling to minimize skin contact.']","['Section 4: First aid measures, Section 11: Information on toxicological effects']"
30,['What is the waste disposal method for the product?'],[''],[IndexError('list index out of range')]
31,['Are there any specific storage requirements or conditions for safely storing the product?'],[''],[IndexError('list index out of range')]
32,['What is the shelf life of the product?'],"['""The shelf life of 3M Hi-Strength Spray Adhesive 90 is not explicitly stated in the Safety Data Sheet (SDS). However, based on the provided information, it can be inferred that the product\'s stability and integrity are crucial for safe handling and storage. The SDS emphasizes the importance of keeping the container tightly closed, protecting from sunlight, and storing away from heat, oxidizing agents, and acids.\n\nGiven this context, a conservative estimate would suggest that the shelf life is likely tied to the packaging integrity, storage conditions, and chemical stability of the product. As a general guideline, it\'s recommended to follow the \'Best-By\' or \'Use-By\' dates provided by the manufacturer or consult with 3M directly for specific guidance.\n\nKey safety considerations:\n\n* Handling and storage precautions must be followed to maintain the product\'s integrity.\n* Regular inspections and maintenance of containers and storage facilities are essential.\n* Consult local regulations and experts for specific guidance on handling, storing, and disposing of this product.\n\nRecommendations:\n\n* Store the product in a well-ventilated area, away from he']","['and follow the recommended storage conditions.\n* Ensure proper packaging and labeling to maintain product integrity during transportation and storage.\n* Regularly inspect containers and storage facilities to prevent damage or contamination.\n* Dispose of expired or damaged products according to local regulations and guidelines.\n\nCritical warnings:\n\n* The product is flammable and must be handled with caution.\n* Avoid exposure to high temperatures, sparks, or open flames.\n* Follow proper ventilation procedures when using the product in a confined area.\n\nSource: Sections 7.1 (Handling and Storage), 6.2-6.3 (Environmental Precautions and Cleanup Procedures), and general safety guidelines throughout the SDS."", \n']"
33,['What are the composition and ingredients of the product?'],"[""The product's composition and ingredients are disclosed in Section 3: Composition/information on ingredients. The main components include Dimethyl Ether (35-45% by wt.), Methyl Acetate (25-35%), Trade Secret* ingredients (41%, unknown acute oral toxicity), Cyclohexane (7-13%), Pentane (1-5%), and 1,1-Difluoroethane (1-5%). It is essential to follow the guidelines for safe handling and storage listed in Sections 2.4, 6, and 8 of the Safety Data Sheet to minimize exposure risks. When working with this product, use gloves and/or protective clothing approved by local standards to prevent skin contact. For inhalation protection, an exposure assessment may be required; if necessary, select a respirator from half facepiece or full facepiece supplied-air respirators or organic vapor respirators, considering the material properties and service life. Keep in mind that 41% of the mixture consists of ingredients of unknown acute oral toxicity, making proper handling and protection crucial. Consult local regulations for specific guidelines on safe storage, disposal, and emergency procedures.""]","['Section 3: Composition/information on ingredients, Section 2.4: Safe Handling, Section 6: Accidental Release Measures, Section 8: Exposure controls/personal protection']"
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],[''],[IndexError('list index out of range')]
35,['What is the odor of the product?'],"[""The product has a clear sweet fruity odor. It is essential to be aware of this characteristic as it can aid in detection of leaks or spills. However, please note that the odor threshold is not available, which means you may not always be able to smell it. When handling this product, it's crucial to follow the safety precautions outlined in Section 7: Handling and storage. This includes avoiding release to the environment, keeping away from heat/sparks/open flames/hot surfaces, and ensuring proper ventilation. In case of inhalation or eye exposure, follow the emergency response instructions provided in Section 8: Exposure controls/personal protection. If you're unsure about any aspect of handling this product, consult with your respirator manufacturer regarding the suitability of full facepiece supplied-air respirators or organic vapor respirators for specific applications.""]",['Section 9: Physical and chemical properties']
