,Question,Answer,Source
24,['What are the potential hazards associated with the product?'],"['Acute toxicity, Category 5 Eye Irritation, Category 2B. Maybe harmful if swallowed, in contact with skin or if inhaled.']",['Hazards Identification']
25,['What are the specific health effects or risks associated with exposure to the product?'],"['H303+H313 +H333 H320 - Maybe harmful if swallowed, in contact with skin or if inhaled. Causes eye irritation.']",['Hazards Identification']
26,['What are the emergency procedures in case of inhalation of the product?'],"['Not normally required. Move to fresh air. If symptoms persist, get medical attention.']","['Inhalation: Not normally required. Move to fresh air. If symptoms persist, get medical attention.']"
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with plenty of soap and water. If irritation persists, contact a physician.']",['First Aid Measures and P304 + 340 P301+330+ 331 P303+352 P305+351+ 338IFINHALED : Remove victim to fresh air and keep at rest in a position comfortable for breat hing IF SWALLOWED : Rinse mouth. Do NOT induce vomiting . IF ON SKIN : Wash with plenty of soap and water.']
28,['What are the emergency procedures in case of eye contact with the product?'],"['Flush eyes for fifteen minutes with water. If irritation persists, contact a physician.']",['4. First Aid Measures']
29,['What are the emergency procedures in case of ingestion of the product?'],['Rinse mouth. Do NOT induce vomiting.'],['5. First Aid Measures']
30,['What is the waste disposal method for the product?'],"['Observe all federal, state and local regulations.']",['13. Disposal Considerations']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],"['Store in cool, dry area. Prevent product from freezing. Keep out of reach of children.']",['7. Handling and Storage']
32,['What is the shelf life of the product?'],"['3 years as long as the product is kept in a clean, dry environment away from direct sunlight and/or excessive heat.']",['7. Handling and Storage']
33,['What are the composition and ingredients of the product?'],"['Aqua (70-90%), Microbes (1-5%), Enzymes (1-5%), Cleaning Aid (10-20%), Nutrients (1-5%); Proprietary composition for Microbes, Enzymes']",['Composition/Information on Ingredients']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],['Strong oxidants; sodium hypochlorite or calcium hypochlorite; excessive heat'],"['Conditions of Reactivity, Incompatible Materials, Conditions to Avoid']"
35,['What is the odor of the product?'],['Bland'],['Physical/Chemical Characteristics']
36,['What is the boiling point of the product?'],['212º F (100º C)'],['9. Physical/Chemical Characteristics']
37,['Is the product flammable?'],['Non-flammable'],['Conditions of Flammability : Non-flammable.']
38,['What is the solubility of the product?'],['Soluble'],['10. Stability and Reactivity Data']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']",['This is a stable material. Will not occur.'],"['10. Stability and Reactivity Data, 11. Toxicological Data, 13. Disposal Considerations, 15. Regulatory Information, 5. Special Fire Fighting Procedures']"
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Use adequate ventilation to keep airborne concentrations low. Personal Protection: Safety goggles or glass with side shields, NIOSH/MSHA approved respirator when ventilation is inadequate, and impervious gloves.']",['8. Exposure Controls/Personal Protection Engineering Controls :']
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],"['Observe all federal, state and local regulations. Dispose of waste in accordance with NFPA Hazard Rating.']","['13. Disposal Considerations, 16. OTHER INFORMATION: ']"
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['No'],['Section 3. Composition/Information on Ingredients']
