Source(T/F),,Question,Answer,Source,Note
T,T,What are the special hazards arising from the substance during a fire?,"Carbon oxides (CO, CO2), smoke and irritating vapours as products of incomplete combustion.",Section V. Fire-fighting Measures,
T,T,Are there any special fire handling procedures required for the product?,"For large fire, use water spray, fog or foam. Do NOT use water jet.",Section IV. Fire-fighting Measures,
T,T,"How should accidental releases, spill, or leak of the product be handled?","For small spills, dilute with water and mop up or absorb with an inert dry material and place in an appropriate waste disposal container. For large spills, absorb with an inert material and put the spilled material in an appropriate waste disposal. Dispose of in accordance with regional regulations.",Section VI. Accidental Release Measures,
T,T,What precautions should be taken for safe handling and storage of the product?,"For safe handling and storage of the product, ensure container dryness and keep it tightly closed. Store in a cool, well-ventilated place, avoiding contamination with reactive substances. Always wash hands thoroughly after handling. Wear appropriate footwear to prevent product contact with feet and skin. Special ventilation is not necessary for normal application; however, if vapours or mist are generated, use ventilation to keep exposure below the exposure limit. Use make-up air to balance exhaust ventilation. Ensure eyewash station and safety shower proximity to the work-station. Wear appropriate chemically protective gloves when handling hot product. Select personal protective equipment (PPE) based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,What are the exposure controls and personal protection measures recommended for the product?,"When handling this product, personal protection measures include wearing appropriate chemically protective gloves, heat-resistant and insulated when necessary. Suitable clothing to prevent skin contact (long sleeves and trousers as a minimum). Appropriate footwear to prevent the product from coming in contact with feet and skin. Eye protection should be determined based on conditions of use; safety goggles and/or face shield may be necessary if splashing is possible. Respirators may be needed when concentrations in air exceed occupational exposure limits, especially where engineering or work practices are inadequate.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,What are the physical and chemical properties of the product?,"The product is a clear viscous liquid, green in color, with an odourless odor. It has a volatility of 0% (w/w), a density of 1.115 to 1.145 (Water = 1), and a vapour density of 2.1 (Air=1). The product also has a vapour pressure of 0.06 mmHg @ 20簞C (68繙F) and is soluble in water, methanol, and diethyl ether.",Section IX. Physical and Chemical Properties,
T,T,Is the product stable or reactive? Are there any hazardous reactions to be aware of?,"The product is stable, but reactive with oxidizing agents, acids, and alkalis. May release COx, smoke, and irritating vapours when heated to decomposition.",Section X. Stability and Reactivity,
T,T,What are the possible hazardous decomposition products of the product?,"COx, smoke and irritating vapours",Section X. Stability and Reactivity,
T,T,What is the toxicological information available for the product?,"The product is slightly hazardous in case of eye contact (irritant) and inhalation (lung irritant). It can cause nausea, headaches, and vomiting. The substance may be toxic to kidneys and liver. Repeated exposure can produce target organs damage. The product is fetotoxic and teratogenic in mice at levels below maternal toxicity.","Eye Irritation/Inflammation, Respiratory Tract Sensitization, Other Considerations, Carcinogenicity (ACGIH)",
T,T,What are the safety precautions and handling instructions for using the product?,"When handling this product, ensure proper ventilation to prevent exposure to airborne contaminants. Wear chemically protective gloves that are heat-resistant and insulated if handling hot product. In addition, wear appropriate clothing (long sleeves and trousers) to prevent skin contact. For eye protection, safety glasses, safety goggles, or a face shield should be used based on the conditions of use. Ensure the area is well-ventilated if vapors or mist are generated during use. It's also crucial to have an eyewash station and safety shower close to the workstation. Appropriate footwear must be worn to prevent product contact with feet and skin.","Section VII (Handling and Storage), Section VIII (Exposure Controls/Personal Protection)",
T,T,What are the potential hazards associated with the product?,"The potential hazards associated with this product include slight irritation of skin, eyes, and respiratory tract. It is extremely dangerous in case of ingestion, slightly hazardous in case of inhalation (lung irritant) and can cause nausea, headaches, and vomiting, and slightly hazardous in case of skin contact (irritant). May release COx, smoke, and irritating vapours when heated to decomposition.","Section III. Hazards Identification., Section X. Stability and Reactivity, Section XI. Toxicological Information",
T,T,What are the specific health effects or risks associated with exposure to the product?,"The specific health effects or risks associated with exposure to the product include slight irritation of skin, eyes, and respiratory tract, nausea, headaches, vomiting, kidney damage, liver damage, target organs damage from repeated or prolonged exposure. Ingestion can cause extremely dangerous effects.","Section III. Hazards Identification., Section XI. Toxicological Information",
T,T,What are the emergency procedures in case of inhalation of the product?,"Evacuate the victim to a safe area as soon as possible. If the victim is not breathing, perform artificial respiration. Allow the victim to rest in a well ventilated area. DO NOT induce vomiting because of danger of aspirating liquid into lungs. Seek medical attention.",Section IV. First Aid Measures,
T,T,What are the emergency procedures in case of skin contact with the product?,Remove contaminated clothing - launder before reuse. Wash gently and thoroughly the contaminated skin with running water and non-abrasive soap. Seek medical attention.,Section IV. First Aid Measures,
T,T,What are the emergency procedures in case of eye contact with the product?,"IMMEDIATELY flush eyes with running water for at least 15 minutes, keeping eyelids open.  Seek medical attention.",Section IV. First Aid Measures,
T,F,What are the emergency procedures in case of ingestion of the product?,"If swallowed, call a doctor or poison control center. Immediately rinse mouth with water followed by glass of water if conscious. Allow the victim to rest in a well-ventilated area. Seek medical attention.",Section IV. First Aid Measures,回答的答案來源不明，但與在Section 4中的處理方式有差距。正解應該為 DO NOT induce vomiting because of danger of aspirating liquid into lungs.  Seek medical attention.
T,T,What is the waste disposal method for the product?,"The waste disposal method for the product is to recycle or reprocess, then incinerate with energy recovery or dispose at a licensed waste disposal facility. Ensure disposal or reprocessing is in compliance with government requirements and local disposal regulations.",Section XIII. Disposal Considerations,
T,T,Are there any specific storage requirements or conditions for safely storing the product?,"Store in a well-ventilated area, ensure that eyewash station and safety shower are close to work-station. Maintain adequate air exchange in the storage area. Store away from incompatible materials such as oxidizing agents, acids and alkalis.","Section VII. Handling and Storage, Section X. Stability and Reactivity",
T,T,What is the shelf life of the product?,"The product is stable, with a dropping point of 129 to 197簞C (264 to 387簞F). Stability information is available in Section X. Stability and Reactivity.",Section X. Stability and Reactivity,
T,T,What are the composition and ingredients of the product?,"The product is composed of Ethylene glycol (107-21-1, >55%) and Sodium tetraborate pentahydrate (1330-43-4, <5%).",Section II. Composition and Information on Ingredients,
T,T,Are there any known hazardous reactions or incompatibilities with other substances or materials?,"The product is stable, but reacts with oxidizing agents, acids, and alkalis. Decomposes when heated to release COx, smoke, and irritating vapours. Polymerization will not occur under normal working conditions.",Section X. Stability and Reactivity,
T,T/F,What is the odor of the product?,Not available,Odour,"文件上寫Odour Odourless，回答 Not available或許算正確答案?追加尋問「Is product Odourless?」回答為「Yes, the product is odourless」"
T,T,What is the boiling point of the product?,129 to 197簞C (264 to 387簞F),Section IX. Physical and Chemical Properties,
T,T,Is the product flammable?,"Yes, the product is flammable.",Section V. Fire-fighting Measures,
T,T,What is the solubility of the product?,"Soluble in water, methanol and diethyl ether.",Section IX. Physical and Chemical Properties,
T,T,"Is the product stable under certain conditions, and are there any potential decomposition products?","Yes, the product is stable. However, it may release COx, smoke, and irritating vapors when heated to decomposition.","Section X. Stability and Reactivity, Decomposition",
T,T,"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","For normal application, special ventilation is not necessary. If user's operations generate vapours or mist, use ventilation to keep exposure to airborne contaminants below the exposure limit. Make-up air should always be supplied to balance air removed by exhaust ventilation. Wear appropriate chemically protective gloves. When handling hot product ensure gloves are heat resistant and insulated. Where concentrations in air may exceed the occupational exposure limits given in Section 2 (and those applicable to your area) and where engineering, work practices or other means of exposure reduction are not adequate, NIOSH approved respirators may be necessary to prevent overexposure by inhalation. Wear appropriate clothing to prevent skin contact. As a minimum long sleeves and trousers should be worn. Eye protection (i.e., safety glasses, safety goggles and/or face shield) should be determined based on conditions of use.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
T,T,Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,Dispose of in accordance with regional regulations. Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations. Preferred waste management priorities are: (1) recycle or reprocess; (2) incineration with energy recovery; (3) disposal at licensed waste disposal facility.,"Section XIII. Disposal Considerations, Section XV. Regulatory Information",
T,T,Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"No, the specific chemical identity or exact percentage of the composition cannot be disclosed for the product.",Section XV. Regulatory Information,
42,39,,,,
