Question,Answer,Source,Note
Are there any specific storage requirements or conditions for safely storing the product?,Ensure that eyewash station and safety shower are close to work-station. Wear appropriate footwear to prevent product from coming in contact with feet and skin. Make-up air should always be supplied to balance air removed by exhaust ventilation.,Section VII. Handling and Storage,
What is the shelf life of the product?,The product is stable under normal working conditions.,"Section X. Stability and Reactivity, Hazardous Polymerization",
What are the composition and ingredients of the product?,"The product contains two ingredients: Ethylene glycol (107-21-1) >55%, Sodium tetraborate pentahydrate (1330-43-4) <5%. Additionally, it is recommended to consult local authorities for acceptable exposure limits.","Section II. Composition and Information on Ingredients, Exposures Limits (ACGIH)",
Are there any known hazardous reactions or incompatibilities with other substances or materials?,"Yes, there are known hazardous reactions with oxidizing agents, acids, and alkalis. The product also reacts with these substances to cause decomposition and release of COx, smoke, and irritating vapours.",Section X. Stability and Reactivity,
What is the odor of the product?,Odourless.,Section X. Stability and Reactivity,
What is the boiling point of the product?,1.115 to 1.145 (Water = 1),Section IX. Physical and Chemical Properties,
Is the product flammable?,"Yes, the product is flammable",Section V. Fire-fighting Measures,
What is the solubility of the product?,Information not available in the provided context,N/A,沒抓到資料
"Is the product stable under certain conditions, and are there any potential decomposition products?","Yes, the product is stable. The potential decomposition products include COx, smoke, and irritating vapours.",Section X. Stability and Reactivity,
"What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?","Engineering controls include special ventilation to keep exposure to airborne contaminants below the exposure limit. Personal protective equipment (PPE) includes appropriate footwear, chemically protective gloves that are heat-resistant and insulated when handling hot product, and appropriate clothing with long sleeves and trousers to prevent skin contact. Respiratory protection may be necessary in cases where concentrations in air exceed occupational exposure limits, and NIOSH-approved respirators should be used in such situations.","Section VII. Handling and Storage, Section VIII. Exposure Controls/Personal Protection",
Are there any specific environmental precautions or considerations for the disposal of the product or its containers?,Dispose of in accordance with regional regulations. Ensure that disposal or reprocessing is in compliance with government requirements and local disposal regulations.,"Section XIII. Disposal Considerations, Section VI. Accidental Release Measures",
Can the specific chemical identity or exact percentage of the composition be disclosed for the product?,"The specific chemical identity is disclosed as CAS # 107-21-1, but the exact percentage of composition for 'Ethylene glycol' is >55%, while 'Sodium tetraborate pentahydrate' is <5%.",Section II. Composition and Information on Ingredients,
