,Question,Answer,Source
25,['What are the specific health effects or risks associated with exposure to the product?'],"['Signs/symptoms may include increased heart rate, rapid respirations, drowsiness, headache, incoordination, altered judgement, nausea, vomiting, lethargy, seizures, coma and may be fatal. Respiratory Tract Irritation: Signs/symptoms may include cough, sneezing, nasal discharge, headache, hoarseness, and nose and throat pain. Mild Skin Irritation: Signs/symptoms may include localized redness, swelling, itching, and dryness. Eye Contact: Moderate Eye Irritation: Signs/symptoms may include redness, swelling, pain, tearing, and blurred or hazy vision.']",['Signs and Symptoms of Exposure']
26,['What are the emergency procedures in case of inhalation of the product?'],['Remove person to fresh air and keep comfortable for breathing.'],"['6.1 Personal precautions, protective equipment and emergency procedures']"
27,['What are the emergency procedures in case of skin contact with the product?'],"['Wash with soap and water. If signs/symptoms develop, get medical attention.']",['Section 4: First aid measures 4.1.']
28,['What are the emergency procedures in case of eye contact with the product?'],"['IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing. If eye irritation persists: Get medical advice/attention.']",['Section 4.1: Description of first aid measures']
29,['What are the emergency procedures in case of ingestion of the product?'],"['Rinse mouth. If you feel unwell, get medical attention.']",['Section 4: First aid measures 4.1. Description of first aid measures']
30,['What is the waste disposal method for the product?'],['Dispose of contents/container in accordance with local/regional/national/international regulations. Incinerate uncured product in a permitted waste incineration facility. Dispose of completely cured (or polymerized) material in a permitted industrial waste facility.'],['SECTION 13: Disposal considerations']
31,['Are there any specific storage requirements or conditions for safely storing the product?'],['Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F.'],"['SECTION 7: Handling and storage, SECTION 7.2. Conditions for safe storage including any incompatibilities']"
32,['What is the shelf life of the product?'],['Not Applicable'],"['SECTION 9: Physical and chemical properties, 9.1. Information on basic physical and chemical properties']"
33,['What are the composition and ingredients of the product?'],"['SECTION 3: Composition/information on ingredients Ingredient C.A.S. No. % by Wt Dimethyl Ether 115-10-6 35 - 45 Trade Secret * Methyl Acetate 79-20-9 25 - 35 Trade Secret * N.J.T.S. Registry No. 0449960-6448P Trade Secret* 10 - 20 Trade Secret * Cyclohexane 110-82-7 7 - 13 Trade Secret * 1,1-Difluoroethane 75-37-6 1 - 5 Trade Secret * Pentane 109-66-0 1 - 5 Trade Secret *']",['SECTION 3: Composition/information on ingredients']
34,['Are there any known hazardous reactions or incompatibilities with other substances or materials?'],"['Heat, Strong oxidizing agents, and Strong acids']",['10.4. Conditions to avoid 10.5.']
35,['What is the odor of the product?'],['Clear sweet fruity odor'],['SECTION 9: Physical and chemical properties']
36,['What is the boiling point of the product?'],['I dont know'],['N/A']
37,['Is the product flammable?'],['Extremely flammable aerosol. Causes eye irritation.'],"['5.2. Special hazards arising from the substance or mixture, 7.1. Precautions for safe handling, 3M Hi-Strength Spray Adhesive 90 - Safety Data Sheet']"
38,['What is the solubility of the product?'],['Nil Solubility in Water'],['6.2 Environmental precautions']
39,"['Is the product stable under certain conditions, and are there any potential decomposition products?']","['This material may be reactive with certain agents under certain conditions. The product is stable under certain conditions, and hazardous decomposition products are not known to occur under normal use conditions. However, refer to section 5.2 for hazardous decomposition products during combustion.']","['10.1 Reactivity, 6.3 Methods and material for containment and cleaning up, 5.2 Hazardous decomposition products']"
40,"['What are the recommended engineering controls, personal protective equipment (PPE), and respiratory protection for handling the product?']","['Use general dilution ventilation and/or local exhaust ventilation to control airborne exposures to below relevant Exposure Limits and/or control dust/fume/gas/mist/vapors/spray. If ventilation is not adequate, use respiratory protection equipment.']",['8.2.1. Engineering controls']
41,['Are there any specific environmental precautions or considerations for the disposal of the product or its containers?'],['Avoid release to the environment. Store in a well-ventilated place. Keep container tightly closed. Protect from sunlight. Do not expose to temperatures exceeding 50C/122F.'],['Section 7.2. Conditions for safe storage including any incompatibilities and Section 6.3. Methods and material for containment and cleaning up']
42,['Can the specific chemical identity or exact percentage of the composition be disclosed for the product?'],['The specific chemical identity and/or exact percentage (concentration) of this composition has been withheld as a trade secret.'],['SECTION 3: Composition/information on ingredients']
